,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,9,216,-1.102,-1.195,-1.304,-1.205,-1.325,-1.171,0.004,0.0,0.0,0.0,0.892,-2.153,-16.28,-40.132,0.175,0.561,0.487,0.116,0.072,0.088
VIESDTC_20230216002023030300T.scan,10,240,-1.179,-1.277,-1.443,-1.286,-1.462,-1.222,0.051,0.0,0.0,0.0,0.869,-2.087,-17.281,-43.735,0.166,0.56,0.593,0.108,0.04,0.058
VIESDTC_20230216002023030300T.scan,11,264,-1.194,-1.296,-1.541,-1.307,-1.559,-1.291,0.077,0.0,0.0,0.0,0.838,-1.92,-17.534,-45.851,0.193,0.583,0.661,0.063,0.026,0.029
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.618,-0.676,-0.041,-0.684,-0.048,0.071,0.353,0.0,0.0,0.0,0.284,1.09,-2.556,3.138,-0.147,-0.025,-0.293,-0.04,0.061,-0.054
VIESBAMH_20230216002023030300T.scan,2,48,-0.851,-0.978,-0.056,-0.994,-0.069,0.113,0.487,-0.0,0.0,0.0,0.521,1.549,-4.066,6.382,-0.136,0.022,-0.424,-0.034,0.091,-0.038
VIESBAMH_20230216002023030300T.scan,3,72,-0.961,-1.107,-0.082,-1.128,-0.098,0.112,0.525,0.0,0.0,0.0,0.723,1.691,-5.059,7.828,-0.088,0.085,-0.459,-0.017,0.108,-0.004
VIESBAMH_20230216002023030300T.scan,4,96,-1.054,-1.195,-0.16,-1.22,-0.179,0.078,0.6,0.0,0.0,0.0,0.908,2.181,-5.641,7.928,-0.102,0.095,-0.572,0.011,0.104,-0.023
VIESBAMH_20230216002023030300T.scan,5,120,-1.104,-1.241,-0.256,-1.269,-0.279,0.041,0.553,0.0,0.0,0.0,1.054,1.74,-6.929,5.895,0.0,0.222,-0.552,0.061,0.121,0.049
VIESBAMH_20230216002023030300T.scan,6,144,-1.128,-1.254,-0.339,-1.283,-0.365,-0.008,0.336,0.0,0.0,0.0,1.184,0.116,-9.235,2.419,0.091,0.376,-0.429,0.12,0.134,0.078
VIESBAMH_20230216002023030300T.scan,7,168,-1.175,-1.311,-0.458,-1.341,-0.488,-0.022,0.138,0.0,0.0,0.0,1.285,-1.447,-11.914,-1.457,0.174,0.528,-0.311,0.128,0.121,0.125
VIESBAMH_20230216002023030300T.scan,8,192,-1.256,-1.386,-0.589,-1.416,-0.62,-0.028,-0.005,0.0,0.0,0.0,1.348,-2.774,-14.562,-5.07,0.226,0.646,-0.262,0.158,0.114,0.165
VIESBAMH_20230216002023030300T.scan,9,216,-1.356,-1.482,-0.695,-1.511,-0.728,-0.043,-0.043,0.0,0.0,0.0,1.379,-3.392,-16.322,-7.413,0.188,0.668,-0.307,0.174,0.115,0.138
VIESBAMH_20230216002023030300T.scan,10,240,-1.393,-1.52,-0.812,-1.548,-0.843,-0.013,-0.029,0.0,0.0,0.0,1.38,-3.429,-17.141,-8.415,0.153,0.636,-0.323,0.147,0.133,0.069
VIESBAMH_20230216002023030300T.scan,11,264,-1.423,-1.556,-0.975,-1.585,-1.005,0.011,-0.072,0.0,0.0,0.0,1.37,-3.752,-18.278,-10.647,0.179,0.686,-0.261,0.148,0.09,0.048
