,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESX666_20230216002023030300T.scan,7,168,-0.135,-0.906,-0.298,-0.932,-0.315,-0.346,-0.316,0.0,0.0,0.0,0.853,-3.032,-14.599,-18.253,-0.218,-0.101,0.197,0.184,0.029,-0.182
VIESX666_20230216002023030300T.scan,8,192,-0.186,-0.957,-0.345,-0.985,-0.363,-0.395,-0.311,0.0,0.0,0.0,0.929,-3.309,-15.774,-20.39,-0.155,-0.098,0.259,0.157,0.062,-0.161
VIESX666_20230216002023030300T.scan,9,216,-0.284,-1.026,-0.368,-1.052,-0.388,-0.392,-0.298,0.0,0.0,0.0,0.964,-3.619,-16.747,-21.426,-0.14,-0.111,0.247,0.154,0.07,-0.142
VIESX666_20230216002023030300T.scan,10,240,-0.357,-1.102,-0.369,-1.129,-0.39,-0.399,-0.281,0.0,0.0,0.0,0.983,-3.792,-17.28,-21.965,-0.094,-0.119,0.208,0.218,0.071,-0.167
VIESX666_20230216002023030300T.scan,11,264,-0.414,-1.18,-0.398,-1.21,-0.42,-0.422,-0.162,0.0,0.0,0.0,1.013,-3.12,-17.187,-22.463,-0.048,-0.131,0.188,0.172,0.063,-0.163
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,-0.068,-0.075,-0.171,-0.08,-0.176,-0.116,-0.085,0.0,0.0,0.0,0.234,-0.784,-2.49,-4.067,0.012,-0.022,-0.079,-0.024,0.026,-0.085
VIESDTC_20230216002023030300T.scan,2,48,-0.094,-0.128,-0.265,-0.134,-0.276,-0.182,-0.195,-0.0,0.0,0.0,0.379,-1.561,-4.271,-5.89,0.03,-0.038,-0.067,0.015,0.019,-0.04
VIESDTC_20230216002023030300T.scan,3,72,-0.111,-0.149,-0.339,-0.156,-0.354,-0.304,-0.265,0.0,0.0,0.0,0.503,-2.02,-5.424,-8.165,0.036,-0.004,-0.051,0.065,0.03,-0.106
VIESDTC_20230216002023030300T.scan,4,96,-0.141,-0.178,-0.396,-0.185,-0.413,-0.445,-0.3,0.0,0.0,0.0,0.603,-2.288,-6.227,-10.636,0.028,-0.032,-0.043,0.042,0.01,-0.138
