,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESBAMH_20230216002023030300T.scan,2,48,-0.172,-0.212,-0.296,-0.209,-0.316,-0.17,0.307,-0.0,-0.0,0.0,0.515,2.254,-0.131,-6.842,-0.197,-0.191,-0.185,-0.175,-0.003,0.262
VIESBAMH_20230216002023030300T.scan,3,72,-0.255,-0.297,-0.378,-0.29,-0.407,-0.252,0.398,-0.0,-0.0,0.0,0.696,2.856,-0.353,-8.808,-0.152,-0.312,-0.291,-0.257,0.036,0.323
VIESBAMH_20230216002023030300T.scan,4,96,-0.322,-0.364,-0.426,-0.356,-0.462,-0.36,0.442,-0.0,-0.0,0.0,0.782,3.072,-0.653,-10.399,-0.29,-0.425,-0.49,-0.345,0.037,0.314
VIESBAMH_20230216002023030300T.scan,5,120,-0.385,-0.42,-0.449,-0.408,-0.488,-0.451,0.467,-0.0,-0.0,0.0,0.843,3.146,-0.935,-12.156,-0.327,-0.582,-0.519,-0.248,0.1,0.111
VIESBAMH_20230216002023030300T.scan,6,144,-0.42,-0.467,-0.45,-0.454,-0.491,-0.532,0.514,-0.0,-0.0,0.0,0.863,3.471,-0.916,-13.391,-0.544,-0.688,-0.53,-0.344,0.059,0.254
VIESBAMH_20230216002023030300T.scan,7,168,-0.468,-0.524,-0.46,-0.513,-0.502,-0.574,0.483,-0.0,-0.0,0.0,0.815,3.098,-1.584,-14.453,-0.629,-0.8,-0.507,-0.3,0.067,0.301
VIESBAMH_20230216002023030300T.scan,8,192,-0.48,-0.538,-0.469,-0.527,-0.512,-0.605,0.415,-0.0,-0.0,0.0,0.793,2.47,-2.351,-15.627,-0.773,-0.884,-0.473,-0.312,0.094,0.352
VIESBAMH_20230216002023030300T.scan,9,216,-0.484,-0.539,-0.469,-0.527,-0.508,-0.637,0.407,-0.0,-0.0,0.0,0.776,2.386,-2.409,-16.226,-0.916,-0.943,-0.414,-0.36,0.034,0.446
VIESBAMH_20230216002023030300T.scan,10,240,-0.515,-0.559,-0.47,-0.546,-0.508,-0.676,0.477,-0.0,-0.0,0.0,0.804,2.922,-1.965,-16.612,-1.068,-1.049,-0.41,-0.369,0.06,0.459
VIESBAMH_20230216002023030300T.scan,11,264,-0.554,-0.594,-0.473,-0.577,-0.511,-0.712,0.58,-0.0,-0.0,0.0,0.832,3.722,-1.267,-16.869,-1.251,-1.053,-0.423,-0.339,0.197,0.261
