,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.009,-0.432,-0.368,-0.41,-0.372,0.181,-0.185,0.0,-0.0,0.0,-0.755,-6.524,-9.888,-0.147,0.014,0.052,0.033,0.123,0.243
VIESX666_20230216002023030300T.scan,2,48,-0.066,-0.552,-0.49,-0.512,-0.497,0.175,0.699,-0.0,-0.0,0.0,6.836,-1.735,-5.492,-0.451,-0.15,0.354,0.15,-0.066,0.246
VIESX666_20230216002023030300T.scan,3,72,-0.119,-0.596,-0.471,-0.55,-0.482,0.135,1.299,-0.0,-0.0,0.0,11.936,2.885,-0.571,-0.851,-0.45,0.663,0.031,-0.363,0.082
VIESX666_20230216002023030300T.scan,4,96,-0.13,-0.574,-0.496,-0.524,-0.512,0.03,1.823,-0.0,-0.0,0.0,16.502,7.058,2.717,-1.115,-0.932,0.693,-0.203,-0.56,-0.348
VIESX666_20230216002023030300T.scan,5,120,-0.068,-0.483,-0.564,-0.423,-0.58,-0.067,2.037,-0.0,-0.0,0.0,18.657,8.482,2.253,-1.35,-1.217,1.123,-0.218,-0.487,-0.361
VIESX666_20230216002023030300T.scan,6,144,-0.06,-0.447,-0.717,-0.387,-0.731,-0.17,1.813,-0.0,-0.0,0.0,16.785,5.351,-3.463,-1.143,-1.265,1.729,-0.24,-0.306,-0.252
VIESX666_20230216002023030300T.scan,7,168,-0.08,-0.45,-0.643,-0.387,-0.657,-0.208,1.361,-0.0,-0.0,0.0,12.689,2.009,-5.582,-0.948,-1.368,1.8,-0.371,-0.246,-0.131
VIESX666_20230216002023030300T.scan,8,192,-0.021,-0.428,-0.73,-0.371,-0.739,-0.208,1.152,-0.0,-0.0,0.0,10.973,-0.225,-9.374,-0.967,-1.835,1.491,-0.199,-0.261,-0.562
VIESX666_20230216002023030300T.scan,9,216,-0.132,-0.521,-0.808,-0.457,-0.816,-0.255,1.754,-0.0,-0.0,0.0,15.93,3.848,-6.937,-0.865,-1.909,1.771,-0.184,-0.29,-0.158
VIESX666_20230216002023030300T.scan,10,240,-0.234,-0.59,-0.781,-0.52,-0.793,-0.271,1.891,-0.0,-0.0,0.0,16.678,4.158,-6.175,-1.007,-1.732,1.989,-0.189,-0.334,-0.435
VIESX666_20230216002023030300T.scan,11,264,-0.296,-0.711,-0.878,-0.646,-0.886,-0.263,1.547,-0.0,-0.0,0.0,13.404,-0.858,-13.254,-0.761,-1.312,2.553,-0.188,-0.417,-0.57
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,1.828,1.585,0.871,1.653,0.886,0.779,1.319,0.002,0.001,0.001,10.861,10.804,15.58,2.923,2.466,3.619,2.561,2.415,3.659
RMSEX666_20230216002023030300T.scan,2,48,2.108,1.909,1.126,1.972,1.139,1.069,1.866,0.002,0.002,0.001,15.59,12.557,18.561,3.572,3.23,5.08,3.049,2.928,4.961
RMSEX666_20230216002023030300T.scan,3,72,2.28,2.104,1.309,2.17,1.322,1.236,2.552,0.002,0.002,0.001,20.842,17.954,25.735,3.966,4.024,6.031,3.443,3.61,6.387
RMSEX666_20230216002023030300T.scan,4,96,2.434,2.273,1.499,2.339,1.51,1.37,3.149,0.002,0.002,0.001,25.687,24.912,34.582,4.12,4.597,6.67,3.731,4.343,7.398
RMSEX666_20230216002023030300T.scan,5,120,2.618,2.472,1.666,2.542,1.678,1.357,3.38,0.002,0.002,0.001,27.902,27.228,40.136,4.348,5.129,7.79,3.93,4.65,8.088
RMSEX666_20230216002023030300T.scan,6,144,2.909,2.814,2.027,2.872,2.034,1.479,3.581,0.002,0.003,0.001,29.06,32.263,51.942,4.444,5.814,8.997,4.25,5.185,9.496
RMSEX666_20230216002023030300T.scan,7,168,3.113,3.058,2.194,3.097,2.194,1.677,3.771,0.002,0.003,0.001,30.269,39.739,64.141,4.655,6.354,10.064,4.568,6.105,11.358
